title,year,doi,url,source_query,abstract,category,relevance_score,problem_claimed,mechanism_introduced,hidden_assumptions,failure_modes_ignored,what_makes_less_novel,what_it_leaves_open
Real-World Robot Control by Deep Active Inference With a Temporally Hierarchical World Model,2026,10.1109/lra.2025.3636032,https://doi.org/10.1109/lra.2025.3636032,robot world model ensemble disagreement,,world-model|active-probing|planning-control,7,choosing robot actions under model uncertainty,active data acquisition,rollout errors preserve action-relevant structure,"query cost, unsafe probes, and exploration bias",can collapse into a standard uncertainty bonus,which physical observation would actually distinguish the candidate models?
Uncertainty-aware neural-symbolic task planning with balanced exploration and execution for domestic service robot,2026,10.1016/j.eswa.2026.132962,https://doi.org/10.1016/j.eswa.2026.132962,robot foundation model uncertainty action planning,,uncertainty|active-probing|planning-control,7,planning with learned predictive models,active data acquisition,uncertainty scores are calibrated enough to guide action,miscalibration under embodied distribution shift,can collapse into a standard uncertainty bonus,which physical observation would actually distinguish the candidate models?
Nested Actors and Critics With Uncertainty Parameter in Robot Path Planning,2026,10.1002/rob.70175,https://doi.org/10.1002/rob.70175,robot foundation model uncertainty action planning,"ABSTRACT Rapid advances in robotics sharpen the challenges of path planning in complex, dynamic settings, where adaptability, robustness, and learning efficiency remain limiting. Although TD3 performs well on difficult tasks, efficient and stable policy optimization under high uncertainty is still open. We propose NACUP (nested actors and critics with uncertainty parameter), a TD3‐based framework that nests actors to hierarchically generate actions, decoupling complex control and improving task success. An uncertainty‐quantification parameter is introduced into the critic to realize a probabilistic inference–based robustness mechanism, stabilizing value estimates and decisions under extreme conditions. We validate NACUP in a high‐fidelity 3D point cloud simulator and benchmark against DDPG, SAC, and TD3. NACUP consistently improves cumulative reward and learning efficiency, and reduces c",uncertainty|planning-control,7,planning with learned predictive models,learned predictive representation,uncertainty scores are calibrated enough to guide action,miscalibration under embodied distribution shift,can collapse into a standard uncertainty bonus,which physical observation would actually distinguish the candidate models?
Balancing Exploration and Exploitation in Robotics: Path Optimization and Uncertainty Management in Complex Environments,2026,10.1007/s10846-025-02339-9,https://doi.org/10.1007/s10846-025-02339-9,robot exploration uncertainty active learning,"Abstract Balancing exploration and exploitation is a fundamental challenge in informative path planning for environmental monitoring. Although numerous reward functions have been proposed in the literature, most have been evaluated under different datasets and experimental conditions, making direct comparison difficult. The novelty of this study lies in its development of four synthetic datasets, experimentally validated and designed with increasing spatial complexity (1 to 4 Regions of Interest, ROIs), to enable a fair and systematic comparison of three widely used Gaussian Process-based reward functions: Entropy, Upper Confidence Bound (UCB), and Level Set. The proposed framework integrates a greedy local path optimization algorithm that maximizes expected reward and incorporates a cross-validation strategy to reduce initial model variance and mitigate overfitting. Importantly, this st",uncertainty|active-probing|planning-control,7,planning with learned predictive models,active data acquisition,uncertainty scores are calibrated enough to guide action,miscalibration under embodied distribution shift,can collapse into a standard uncertainty bonus,which physical observation would actually distinguish the candidate models?
Adaptive exploration under localization uncertainty using multi-fidelity Gaussian processes,2026,10.1007/s10514-025-10235-2,https://doi.org/10.1007/s10514-025-10235-2,robot exploration uncertainty active learning,"Abstract This paper considers a robot moving in a 3D environment that is tasked with estimating a quasi-stationary environmental field (e.g., temperature, concentration of a chemical pollutant, or distribution of light radiation density) in the presence of localization uncertainties, as is typical in underwater or other GPS-denied environments. Gaussian process regression has been widely adopted to model environmental fields. However, a drawback of Gaussian process regression is its difficulty in accounting for data with uncertain input. This work proposes a novel multi-fidelity Gaussian process-based regression approach to address the challenge by splitting the data collected by the robot into different datasets corresponding to the amount of input (localization) uncertainty. Furthermore, a sampling-based trajectory planning algorithm is proposed for adaptive robot exploration that opti",uncertainty|active-probing|planning-control,7,planning with learned predictive models,active data acquisition,uncertainty scores are calibrated enough to guide action,miscalibration under embodied distribution shift,can collapse into a standard uncertainty bonus,which physical observation would actually distinguish the candidate models?
Handling uncertainty and variability in robot control,2026,10.70675/5ce50ab2z265bz4ec4z8a2cz4d5f0aefd74e,https://doi.org/10.70675/5ce50ab2z265bz4ec4z8a2cz4d5f0aefd74e,safe probing robot manipulation uncertainty,"Manipulation de l'incertitude et de la variabilité dans le contrôle des robots Parmi les nombreuses recherches en matière de planification et de contrôle des mouvements pour des applications robotiques, l'humanité n'a jamais atteint un point où les robots seraient parfaitement fonctionnels et autonomes dans des environnements dynamiques. Bien qu'il soit controversé de discuter de la nécessité de ces robots, il est très important d'aborder les problèmes qui nous empêchent de réaliser un tel niveau d'autonomie. Ce travail de recherche tente de résoudre ces problèmes qui séparent ces deux modes de fonctionnement avec un accent particulier sur les incertitudes. Les impossibilités pratiques de capacités de détection précises entraînent une variété d'incertitudes dans les scénarios où le robot est mobile ou l'environnement est dynamique. Ce travail se concentre sur le développement de stratégi",uncertainty|embodied-manipulation|planning-control,7,choosing robot actions under model uncertainty,learned predictive representation,uncertainty scores are calibrated enough to guide action,miscalibration under embodied distribution shift,can collapse into a standard uncertainty bonus,which physical observation would actually distinguish the candidate models?
An In-Memory Physics Environment as a World Model for Robot Motion Planning,2024,10.36227/techrxiv.12893876.v2,https://doi.org/10.36227/techrxiv.12893876.v2,robot world model ensemble disagreement,"Publication reference: https://doi.org/10.1007/978-981-16-1740-9_46 This paper investigates the utilization of a physics simulation environment as the imagination of a robot, where it creates a replica of the detected terrain in a physics simulation environment in its memory, and “imagines” a simulated version of itself in that memory, performing actions and navigation on the terrain. The physics of the environment simulates the movement of robot parts and its interaction with the objects in the environment and the terrain, thus avoiding the need for explicitly programming many calculations.",world-model|planning-control,7,planning with learned predictive models,learned predictive representation,rollout errors preserve action-relevant structure,miscalibration under embodied distribution shift,can collapse into a standard uncertainty bonus,which physical observation would actually distinguish the candidate models?
Interactively Robot Action Planning with Uncertainty Analysis and Active Questioning by Large Language Model,2024,10.1109/sii58957.2024.10417267,https://doi.org/10.1109/sii58957.2024.10417267,embodied uncertainty planning robot model disagreement,,uncertainty|active-probing|planning-control,7,planning with learned predictive models,active data acquisition,uncertainty scores are calibrated enough to guide action,"query cost, unsafe probes, and exploration bias",can collapse into a standard uncertainty bonus,which physical observation would actually distinguish the candidate models?
Correction: Planning under uncertainty for safe robot exploration using gaussian process prediction,2024,10.1007/s10514-024-10181-5,https://doi.org/10.1007/s10514-024-10181-5,embodied uncertainty planning robot model disagreement,,uncertainty|active-probing|planning-control,7,planning with learned predictive models,active data acquisition,uncertainty scores are calibrated enough to guide action,miscalibration under embodied distribution shift,can collapse into a standard uncertainty bonus,which physical observation would actually distinguish the candidate models?
Guiding real-world reinforcement learning for in-contact manipulation tasks with Shared Control Templates,2024,10.1007/s10514-024-10164-6,https://doi.org/10.1007/s10514-024-10164-6,contact-rich manipulation world model uncertainty,"Abstract The requirement for a high number of training episodes has been a major limiting factor for the application of Reinforcement Learning (RL) in robotics. Learning skills directly on real robots requires time, causes wear and tear and can lead to damage to the robot and environment due to unsafe exploratory actions. The success of learning skills in simulation and transferring them to real robots has also been limited by the gap between reality and simulation. This is particularly problematic for tasks involving contact with the environment as contact dynamics are hard to model and simulate. In this paper we propose a framework which leverages a shared control framework for modeling known constraints defined by object interactions and task geometry to reduce the state and action spaces and hence the overall dimensionality of the reinforcement learning problem. The unknown task know",active-probing|embodied-manipulation|planning-control|sim2real,7,embodied prediction under contact ambiguity,active data acquisition,contact observations are timely and geometrically aligned,miscalibration under embodied distribution shift,can collapse into a standard uncertainty bonus,which physical observation would actually distinguish the candidate models?
Multi-Robot Active Graph Exploration with Reduced Pose-SLAM Uncertainty via Submodular Optimization,2024,10.1109/iros58592.2024.10802691,https://doi.org/10.1109/iros58592.2024.10802691,robot exploration uncertainty active learning,,uncertainty|active-probing,7,choosing robot actions under model uncertainty,active data acquisition,uncertainty scores are calibrated enough to guide action,"query cost, unsafe probes, and exploration bias",can collapse into a standard uncertainty bonus,which physical observation would actually distinguish the candidate models?
METHODS OF PLANNING THE TRAJECTORY OF A MOBILE ROBOT IN CONDITIONS OF UNCERTAINTY,2023,10.52167/1609-1817-2023-129-6-339-346,https://doi.org/10.52167/1609-1817-2023-129-6-339-346,embodied uncertainty planning robot model disagreement,"This article discusses methods of planning and controlling the movement of a mobile robot in an uncertain environment with fixed and moving obstacles, including those with random changes in the velocity vectors of moving obstacles. The purpose of the article is to analyze the available methods in the field of problem solving for planning the movement of a mobile robot in conditions of uncertainty. The authors have proposed a solution in which the operation of a mobile robot using simulation modeling in conditions of uncertainty will be successful.",uncertainty|planning-control,7,planning with learned predictive models,learned predictive representation,uncertainty scores are calibrated enough to guide action,miscalibration under embodied distribution shift,can collapse into a standard uncertainty bonus,which physical observation would actually distinguish the candidate models?
Active Uncertainty Reduction for Human-Robot Interaction: An Implicit Dual Control Approach,2023,10.1007/978-3-031-21090-7_23,https://doi.org/10.1007/978-3-031-21090-7_23,active learning robotics uncertainty ensemble,,uncertainty|active-probing|planning-control,7,choosing robot actions under model uncertainty,active data acquisition,uncertainty scores are calibrated enough to guide action,"query cost, unsafe probes, and exploration bias",can collapse into a standard uncertainty bonus,which physical observation would actually distinguish the candidate models?
Uncertainty-Aware Haptic Shared Control With Humanoid Robots for Flexible Object Manipulation,2023,10.1109/lra.2023.3306668,https://doi.org/10.1109/lra.2023.3306668,safe probing robot manipulation uncertainty,,uncertainty|embodied-manipulation|planning-control,7,choosing robot actions under model uncertainty,learned predictive representation,uncertainty scores are calibrated enough to guide action,miscalibration under embodied distribution shift,can collapse into a standard uncertainty bonus,which physical observation would actually distinguish the candidate models?
POMDP Planning Under Object Composition Uncertainty: Application to Robotic Manipulation,2023,10.1109/tro.2022.3188168,https://doi.org/10.1109/tro.2022.3188168,safe probing robot manipulation uncertainty,,uncertainty|embodied-manipulation|planning-control,7,planning with learned predictive models,learned predictive representation,uncertainty scores are calibrated enough to guide action,miscalibration under embodied distribution shift,can collapse into a standard uncertainty bonus,which physical observation would actually distinguish the candidate models?
Motion planning for mobile robot with uncertainty : a model predictive control approach,2022,10.14711/thesis-991012980218603412,https://doi.org/10.14711/thesis-991012980218603412,embodied uncertainty planning robot model disagreement,,uncertainty|planning-control,7,planning with learned predictive models,learned predictive representation,uncertainty scores are calibrated enough to guide action,miscalibration under embodied distribution shift,can collapse into a standard uncertainty bonus,which physical observation would actually distinguish the candidate models?
Learning garment manipulation policies toward robot-assisted dressing,2022,10.1126/scirobotics.abm6010,https://doi.org/10.1126/scirobotics.abm6010,safe probing robot manipulation uncertainty,"Assistive robots have the potential to support people with disabilities in a variety of activities of daily living, such as dressing. People who have completely lost their upper limb movement functionality may benefit from robot-assisted dressing, which involves complex deformable garment manipulation. Here, we report a dressing pipeline intended for these people and experimentally validate it on a medical training manikin. The pipeline is composed of the robot grasping a hospital gown hung on a rail, fully unfolding the gown, navigating around a bed, and lifting up the user’s arms in sequence to finally dress the user. To automate this pipeline, we address two fundamental challenges: first, learning manipulation policies to bring the garment from an uncertain state into a configuration that facilitates robust dressing; second, transferring the deformable object manipulation policies lea",active-probing|embodied-manipulation|planning-control|sim2real,7,transfer under dynamics mismatch,active data acquisition,uncertainty scores are calibrated enough to guide action,"query cost, unsafe probes, and exploration bias",can collapse into a standard uncertainty bonus,which physical observation would actually distinguish the candidate models?
An In-Memory Physics Environment as a World Model for Robot Motion Planning,2020,10.36227/techrxiv.12893876,https://doi.org/10.36227/techrxiv.12893876,robot world model ensemble disagreement,"This paper investigates the utilization of a physics simulation environment as the imagination of a robot, where it creates a replica of the detected terrain in a physics simulation environment in its memory, and “imagines” a simulated version of itself in that memory, performing actions and navigation on the terrain. The physics of the environment simulates the movement of robot parts and its interaction with the objects in the environment and the terrain, thus avoiding the need for explicitly programming many calculations.",world-model|planning-control,7,planning with learned predictive models,learned predictive representation,rollout errors preserve action-relevant structure,miscalibration under embodied distribution shift,can collapse into a standard uncertainty bonus,which physical observation would actually distinguish the candidate models?
An In-Memory Physics Environment as a World Model for Robot Motion Planning,2020,10.36227/techrxiv.12893876.v1,https://doi.org/10.36227/techrxiv.12893876.v1,robot world model ensemble disagreement,"This paper investigates the utilization of a physics simulation environment as the imagination of a robot, where it creates a replica of the detected terrain in a physics simulation environment in its memory, and “imagines” a simulated version of itself in that memory, performing actions and navigation on the terrain. The physics of the environment simulates the movement of robot parts and its interaction with the objects in the environment and the terrain, thus avoiding the need for explicitly programming many calculations.",world-model|planning-control,7,planning with learned predictive models,learned predictive representation,rollout errors preserve action-relevant structure,miscalibration under embodied distribution shift,can collapse into a standard uncertainty bonus,which physical observation would actually distinguish the candidate models?
An In-Memory Physics Environment as a World Model for Robot Motion Planning,2020,10.31224/osf.io/qyvdg,https://doi.org/10.31224/osf.io/qyvdg,robot world model ensemble disagreement,"This paper investigates the possibility of utilizing a physics simulation environment as the imagination of a robot, where it creates a replica of the detected terrain in a physics simulation environment in its memory, and “imagines” a simulated version of itself in that memory, performing actions and navigation on the terrain. The physics of the environment simulates the movement of robot parts and its interaction with the objects in the environment and the terrain, thus avoiding the need for explicitly programming many calculations. The robot chooses the best possible action from multiple simulations of movement, and executes it in the real world. Moreover, as the complexity of motion increases with each degree of freedom of the robot’s joints, this paper also explores the utility of uniform pseudo-randomness to explore the fitness landscape of robot motility, and compares it with Comp",world-model|planning-control,7,planning with learned predictive models,learned predictive representation,rollout errors preserve action-relevant structure,miscalibration under embodied distribution shift,can collapse into a standard uncertainty bonus,which physical observation would actually distinguish the candidate models?
Contingent Task and Motion Planning under Uncertainty for Human–Robot Interactions,2020,10.3390/app10051665,https://doi.org/10.3390/app10051665,embodied uncertainty planning robot model disagreement,"Manipulation planning under incomplete information is a highly challenging task for mobile manipulators. Uncertainty can be resolved by robot perception modules or using human knowledge in the execution process. Human operators can also collaborate with robots for the execution of some difficult actions or as helpers in sharing the task knowledge. In this scope, a contingent-based task and motion planning is proposed taking into account robot uncertainty and human–robot interactions, resulting a tree-shaped set of geometrically feasible plans. Different sorts of geometric reasoning processes are embedded inside the planner to cope with task constraints like detecting occluding objects when a robot needs to grasp an object. The proposal has been evaluated with different challenging scenarios in simulation and a real environment.",uncertainty|embodied-manipulation|planning-control,7,planning with learned predictive models,learned predictive representation,uncertainty scores are calibrated enough to guide action,miscalibration under embodied distribution shift,can collapse into a standard uncertainty bonus,which physical observation would actually distinguish the candidate models?
Design of Control Systems Using Active Uncertainty Reduction-Based Reinforcement Learning,2020,10.1115/detc2020-22014,https://doi.org/10.1115/detc2020-22014,active learning robotics uncertainty ensemble,"Abstract Model-free reinforcement learning based methods such as Proximal Policy Optimization, or Q-learning typically require thousands of interactions with the environment to approximate the optimal controller which may not always be feasible in robotics due to safety and time consumption. Model-based methods such as PILCO or BlackDrops, while data-efficient, provide solutions with limited robustness and complexity. To address this tradeoff, we introduce active uncertainty reduction-based virtual environments, which are formed through limited trials conducted in the original environment. We provide an efficient method for uncertainty management, which is used as a metric for self-improvement by identification of the points with maximum expected improvement through adaptive sampling. Capturing the uncertainty also allows for better mimicking of the reward responses of the original syste",uncertainty|active-probing|planning-control,7,choosing robot actions under model uncertainty,active data acquisition,uncertainty scores are calibrated enough to guide action,"query cost, unsafe probes, and exploration bias",can collapse into a standard uncertainty bonus,which physical observation would actually distinguish the candidate models?
Model-Based Robot Learning Control with Uncertainty Directed Exploration,2020,10.1109/aim43001.2020.9158962,https://doi.org/10.1109/aim43001.2020.9158962,robot exploration uncertainty active learning,,uncertainty|active-probing|planning-control,7,choosing robot actions under model uncertainty,active data acquisition,uncertainty scores are calibrated enough to guide action,miscalibration under embodied distribution shift,can collapse into a standard uncertainty bonus,which physical observation would actually distinguish the candidate models?
Modeling Task Uncertainty for Safe Meta-Imitation Learning,2020,10.3389/frobt.2020.606361,https://doi.org/10.3389/frobt.2020.606361,safe probing robot manipulation uncertainty,"To endow robots with the flexibility to perform a wide range of tasks in diverse and complex environments, learning their controller from experience data is a promising approach. In particular, some recent meta-learning methods are shown to solve novel tasks by leveraging their experience of performing other tasks during training. Although studies around meta-learning of robot control have worked on improving the performance, the safety issue has not been fully explored, which is also an important consideration in the deployment. In this paper, we firstly relate uncertainty on task inference with the safety in meta-learning of visual imitation, and then propose a novel framework for estimating the task uncertainty through probabilistic inference in the task-embedding space, called PETNet. We validate PETNet with a manipulation task with a simulated robot arm in terms of the task performa",uncertainty|embodied-manipulation|planning-control,7,choosing robot actions under model uncertainty,learned predictive representation,uncertainty scores are calibrated enough to guide action,miscalibration under embodied distribution shift,can collapse into a standard uncertainty bonus,which physical observation would actually distinguish the candidate models?
Intent-Uncertainty-Aware Grasp Planning for Robust Robot Assistance in Telemanipulation,2019,10.1109/icra.2019.8793819,https://doi.org/10.1109/icra.2019.8793819,embodied uncertainty planning robot model disagreement,,uncertainty|embodied-manipulation|planning-control,7,planning with learned predictive models,learned predictive representation,uncertainty scores are calibrated enough to guide action,miscalibration under embodied distribution shift,can collapse into a standard uncertainty bonus,which physical observation would actually distinguish the candidate models?
"Contributions to robotic manipulation under uncertainty : calibration, estimation, motion planning",2019,10.32657/10220/48014,https://doi.org/10.32657/10220/48014,contact-rich manipulation world model uncertainty,,uncertainty|embodied-manipulation|planning-control,7,planning with learned predictive models,learned predictive representation,uncertainty scores are calibrated enough to guide action,miscalibration under embodied distribution shift,can collapse into a standard uncertainty bonus,which physical observation would actually distinguish the candidate models?
Applied Robot Coverage Path Planning with Multiple Decision Making Capability under Uncertainty using Knowledge Inference with Hedge Algebras,2018,10.20944/preprints201808.0125.v1,https://doi.org/10.20944/preprints201808.0125.v1,embodied uncertainty planning robot model disagreement,"Robotic decision-support systems must facilitate a robots interactions with their environment, this demands adaptability. Adaptability relates to awareness of the environment and `self-awareness', human behaviour exemplifies the concept of awareness to arrive at an optimal choice of action or decision based on reasoning and inference with learned preferences. A similar conceptual approach is required to implement awareness in autonomous robotic systems which must adapt to the current dynamic environment (the context of use). By incorporating `self-awareness' with knowledge of a Robot's preferences (in decision making) the decision maker interface should adapt to the current context of use. This paper proposes a novel approach to enable an autonomous robotics which implements path planning combining adaptation with knowledge reasoning techniques and hedge algebra to enable an autonomous r",uncertainty|planning-control,7,planning with learned predictive models,learned predictive representation,uncertainty scores are calibrated enough to guide action,miscalibration under embodied distribution shift,can collapse into a standard uncertainty bonus,which physical observation would actually distinguish the candidate models?
Learning of assembly constraints by demonstration and active exploration,2016,10.1108/ir-02-2016-0058,https://doi.org/10.1108/ir-02-2016-0058,robot exploration uncertainty active learning,"Purpose In this paper, the authors aim to propose a method for learning robotic assembly sequences, where precedence constraints and object relative size and location constraints can be learned by demonstration and autonomous robot exploration. Design/methodology/approach To successfully plan the operations involved in assembly tasks, the planner needs to know the constraints of the desired task. In this paper, the authors propose a methodology for learning such constraints by demonstration and autonomous exploration. The learning of precedence constraints and object relative size and location constraints, which are needed to construct a planner for automated assembly, were investigated. In the developed system, the learning of symbolic constraints is integrated with low-level control algorithms, which is essential to enable active robot learning. Findings The authors demonstrated that t",active-probing|planning-control,7,planning with learned predictive models,active data acquisition,uncertainty scores are calibrated enough to guide action,"query cost, unsafe probes, and exploration bias",can collapse into a standard uncertainty bonus,which physical observation would actually distinguish the candidate models?
Planning of proactive behaviors for human–robot cooperative tasks under uncertainty,2014,10.1016/j.knosys.2014.08.021,https://doi.org/10.1016/j.knosys.2014.08.021,embodied uncertainty planning robot model disagreement,,uncertainty|active-probing|planning-control,7,planning with learned predictive models,active data acquisition,uncertainty scores are calibrated enough to guide action,"query cost, unsafe probes, and exploration bias",can collapse into a standard uncertainty bonus,which physical observation would actually distinguish the candidate models?
